# Logfile created on 2024-01-27 13:32:39 +0000 by logger.rb/v1.5.0
A, [2024-01-27T13:32:40.308342 #2409]   ANY -- : healthd daemon 1.0.6 initialized
W, [2024-01-27T13:36:55.443079 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:37:00.443320 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:37:05.443558 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:37:10.443807 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:37:15.444162 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:37:20.444439 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:37:25.444703 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:37:30.444940 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:37:35.445222 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:37:40.445464 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:37:45.445791 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:37:50.446041 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:37:55.446295 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:38:00.446537 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:38:05.446777 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:38:10.447025 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:38:15.447317 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:38:20.447578 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:38:25.447833 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:38:30.448059 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:38:35.448282 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:38:40.448507 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:38:45.448782 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:38:50.449042 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:38:55.449435 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:39:00.449731 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:39:05.450047 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:39:10.450278 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:39:15.450595 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:39:20.450958 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:39:25.451233 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:39:30.451474 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:39:35.451727 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:39:40.451970 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:39:45.452255 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:39:50.452489 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:39:55.452764 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:40:00.453015 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:40:05.453241 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:40:10.453511 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:40:15.453791 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:40:20.454043 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:40:25.454286 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:40:30.454509 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:40:35.454762 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:40:40.454986 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:40:45.455240 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:40:50.455720 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:40:55.456316 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:41:00.456535 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:41:05.456789 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:41:10.457064 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:41:15.457343 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:41:20.457561 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:41:25.457832 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:41:30.458127 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:41:35.458385 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:41:40.458679 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:41:45.458916 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:41:50.459166 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:41:55.459465 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:42:00.459706 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:42:05.459957 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:42:10.460255 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:42:15.460757 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:42:20.461001 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:42:25.461285 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:42:30.461576 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:42:35.461823 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:42:40.462066 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:42:45.462315 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:42:50.462548 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:42:55.462828 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:43:00.463082 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:43:05.463375 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:43:10.463620 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:43:15.463972 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:43:20.464235 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:43:25.464507 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:43:30.464744 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:43:35.464987 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:43:40.465265 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:43:45.465515 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:43:50.465802 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:43:55.466069 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:44:00.466321 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:44:05.466567 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:44:10.468264 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:44:15.468524 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:44:20.468777 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:44:25.469216 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:44:30.469488 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:44:35.469739 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:44:40.470090 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:44:45.470427 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:44:50.470742 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:44:55.471056 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:45:00.471291 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:45:05.471531 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:45:10.471795 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:45:15.472072 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:45:20.472328 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:45:25.472574 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:45:30.472819 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:45:35.473064 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:45:40.473604 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:45:45.473852 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:45:50.474057 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:45:55.474435 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:46:00.474738 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:46:05.475058 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:46:10.475296 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:46:15.475561 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:46:20.475790 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:46:25.476065 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:46:30.476282 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:46:35.476527 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:46:40.476807 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:46:45.477070 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:46:50.477313 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:46:55.477560 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:47:00.477787 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:47:05.478108 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:47:10.478355 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:47:15.478643 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:47:20.478915 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:47:25.479188 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:47:30.479424 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:47:35.479658 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:47:40.479931 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:47:45.480189 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:47:50.480433 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:47:55.480689 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:48:00.480927 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:48:05.481174 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:48:10.481412 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:48:15.481683 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:48:20.481973 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:48:25.482224 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:48:30.482456 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:48:35.482790 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:48:40.483010 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:48:45.483241 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:48:50.483491 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:48:55.483748 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:49:00.483998 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:49:05.484255 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:49:10.484603 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:49:15.485000 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:49:20.485241 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:49:25.485498 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:49:30.485756 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:49:35.485991 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:49:40.486247 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:49:45.486614 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:49:50.486851 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:49:55.487084 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:50:00.487310 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:50:05.487550 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:50:10.487872 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:50:15.488135 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:50:20.488395 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:50:25.488645 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:50:30.488873 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
W, [2024-01-27T13:50:35.489111 #2409]  WARN -- : log file "/var/log/nginx/healthd/application.log.2024-01-27-13" does not exist
